buy_order,sell_order,percent_change
"{'orderType': True, 'location': 60003760, 'price': 383600.0, 'system': 30000142, 'item': 16383, 'volume': 24}","{'orderType': False, 'location': 60012667, 'price': 360000.0, 'system': 30000180, 'item': 16383, 'volume': 1}",6.555555555555556
"{'orderType': True, 'location': 60003760, 'price': 3682000.0, 'system': 30000142, 'item': 3082, 'volume': 298}","{'orderType': False, 'location': 60001624, 'price': 3460000.0, 'system': 30000197, 'item': 3082, 'volume': 6}",6.416184971098265
"{'orderType': True, 'location': 60013147, 'price': 5000000.0, 'system': 30000189, 'item': 85729, 'volume': 1666}","{'orderType': False, 'location': 60003760, 'price': 4699000.0, 'system': 30000142, 'item': 85729, 'volume': 1}",6.405618216641838
"{'orderType': True, 'location': 60012310, 'price': 1000000.0, 'system': 30000202, 'item': 85179, 'volume': 5617}","{'orderType': False, 'location': 60003760, 'price': 939900.0, 'system': 30000142, 'item': 85179, 'volume': 21}",6.39429726566656
"{'orderType': True, 'location': 60013141, 'price': 5000000.0, 'system': 30000194, 'item': 85724, 'volume': 1666}","{'orderType': False, 'location': 60003760, 'price': 4700000.0, 'system': 30000142, 'item': 85724, 'volume': 1}",6.382978723404255
"{'orderType': True, 'location': 1044752365771, 'price': 4572000.0, 'system': 30000144, 'item': 8517, 'volume': 21}","{'orderType': False, 'location': 60004228, 'price': 4300000.0, 'system': 30000129, 'item': 8517, 'volume': 1}",6.325581395348837
"{'orderType': True, 'location': 60013141, 'price': 5000000.0, 'system': 30000194, 'item': 85714, 'volume': 1666}","{'orderType': False, 'location': 60003760, 'price': 4712000.0, 'system': 30000142, 'item': 85714, 'volume': 3}",6.112054329371817
"{'orderType': True, 'location': 60003760, 'price': 5411000.0, 'system': 30000142, 'item': 34202, 'volume': 77}","{'orderType': False, 'location': 60003676, 'price': 5100000.0, 'system': 30000149, 'item': 34202, 'volume': 1}",6.098039215686275
"{'orderType': True, 'location': 60003934, 'price': 159.0, 'system': 30000153, 'item': 205, 'volume': 100000}","{'orderType': False, 'location': 60003760, 'price': 149.9, 'system': 30000142, 'item': 205, 'volume': 643824}",6.070713809206133
"{'orderType': True, 'location': 60003760, 'price': 512.1, 'system': 30000142, 'item': 3685, 'volume': 102431}","{'orderType': False, 'location': 60000397, 'price': 482.89, 'system': 30000136, 'item': 3685, 'volume': 28726}",6.0489966659073575
"{'orderType': True, 'location': 60003760, 'price': 5180000.0, 'system': 30000142, 'item': 37610, 'volume': 47}","{'orderType': False, 'location': 60004054, 'price': 4900000.0, 'system': 30000147, 'item': 37610, 'volume': 1}",5.714285714285714
"{'orderType': True, 'location': 1044752365771, 'price': 2360.0, 'system': 30000144, 'item': 41031, 'volume': 2498}","{'orderType': False, 'location': 60003136, 'price': 2235.0, 'system': 30000156, 'item': 41031, 'volume': 1}",5.592841163310962
"{'orderType': True, 'location': 60003760, 'price': 38000.0, 'system': 30000142, 'item': 33441, 'volume': 995}","{'orderType': False, 'location': 60000871, 'price': 36010.0, 'system': 30000184, 'item': 33441, 'volume': 2}",5.526242710358234
"{'orderType': True, 'location': 60003760, 'price': 110600000.0, 'system': 30000142, 'item': 20701, 'volume': 3}","{'orderType': False, 'location': 60000484, 'price': 105000000.0, 'system': 30000204, 'item': 20701, 'volume': 1}",5.333333333333334
"{'orderType': True, 'location': 60010195, 'price': 200000.0, 'system': 30000159, 'item': 30744, 'volume': 1666}","{'orderType': False, 'location': 60004072, 'price': 190000.0, 'system': 30000137, 'item': 30744, 'volume': 7}",5.263157894736842
